Z_MIN,TUILE,TO_DALLE
"29,070",tile_x49y88,HQ
"24,520",tile_x49y89,HQ
"25,010",tile_x49y90,HQ
"23,651",tile_x49y91,HQ
"20,140",tile_x49y92,HP
"24,081",tile_x49y93,HP
"28,740",tile_x49y94,HP
"28,990",tile_x49y95,HP
"30,280",tile_x49y96,HP
"21,684",tile_x49y97,HO
"21,620",tile_x49y98,HO
"22,115",tile_x49y99,HO
"31,866",tile_x50y100,HO
"33,838",tile_x50y101,HO
"34,840",tile_x50y102,HN
"35,450",tile_x50y103,HN
"36,690",tile_x50y104,HN
"35,727",tile_x50y105,HN
"29,750",tile_x50y106,HN
"29,780",tile_x50y107,HM
"36,377",tile_x50y108,HM
"38,310",tile_x50y109,HM
"37,812",tile_x50y110,HM
"37,187",tile_x50y111,HM
"38,720",tile_x50y112,HL
"39,593",tile_x50y113,HL
"40,890",tile_x50y114,HL
"41,020",tile_x50y115,HL
"40,760",tile_x50y116,HL
"52,979",tile_x50y155,HD
"53,134",tile_x50y156,HD
"53,700",tile_x50y157,HC
"54,030",tile_x50y158,HC
"54,280",tile_x50y159,HC
"54,380",tile_x50y160,HC
"54,710",tile_x50y161,HC
"44,060",tile_x50y44,HZ
"43,745",tile_x50y45,HZ
"44,390",tile_x50y46,HZ
"44,690",tile_x50y47,HY
"44,789",tile_x50y48,HY
"44,611",tile_x50y49,HY
"44,750",tile_x50y50,HY
"44,480",tile_x50y51,HY
"44,950",tile_x50y52,HX
"46,318",tile_x50y53,HX
"46,218",tile_x50y54,HX
"45,360",tile_x50y55,HX
"45,660",tile_x50y56,HX
"46,005",tile_x50y57,HW
"45,393",tile_x50y58,HW
"45,290",tile_x50y59,HW
"46,143",tile_x50y60,HW
"45,740",tile_x50y61,HW
"44,086",tile_x50y62,HV
"43,523",tile_x50y63,HV
"44,681",tile_x50y64,HV
"44,010",tile_x50y65,HV
"43,795",tile_x50y66,HV
"43,212",tile_x50y67,HU
"42,413",tile_x50y68,HU
"43,040",tile_x50y69,HU
"44,075",tile_x50y70,HU
"44,086",tile_x50y71,HU
"44,144",tile_x50y72,HT
"42,450",tile_x50y73,HT
"42,120",tile_x50y74,HT
"41,244",tile_x50y75,HT
"41,287",tile_x50y76,HT
"42,008",tile_x50y77,HS
"39,674",tile_x50y78,HS
"37,884",tile_x50y79,HS
"35,800",tile_x50y80,HS
"35,503",tile_x50y81,HS
"36,480",tile_x50y82,HR
"35,714",tile_x50y83,HR
"33,133",tile_x50y84,HR
"32,110",tile_x50y85,HR
"25,315",tile_x50y86,HR
"24,140",tile_x50y87,HQ
"28,848",tile_x50y88,HQ
"26,852",tile_x50y89,HQ
"25,580",tile_x50y90,HQ
"21,073",tile_x50y91,HQ
"19,980",tile_x50y92,HP
"22,830",tile_x50y93,HP
"28,890",tile_x50y94,HP
"29,340",tile_x50y95,HP
"24,601",tile_x50y96,HP
"21,290",tile_x50y97,HO
"21,580",tile_x50y98,HO
"30,927",tile_x50y99,HO
"35,892",tile_x51y100,HO
"36,768",tile_x51y101,HO
"35,560",tile_x51y102,HN
"35,785",tile_x51y103,HN
"37,240",tile_x51y104,HN
"34,970",tile_x51y105,HN
"36,338",tile_x51y106,HN
"30,120",tile_x51y107,HM
"32,829",tile_x51y108,HM
"34,950",tile_x51y109,HM
"38,105",tile_x51y110,HM
"38,900",tile_x51y111,HM
"38,910",tile_x51y112,HL
"39,442",tile_x51y113,HL
"40,800",tile_x51y114,HL
"41,638",tile_x51y115,HL
"41,390",tile_x51y116,HL
"52,700",tile_x51y154,HD
"52,640",tile_x51y155,HD
"52,851",tile_x51y156,HD
"53,260",tile_x51y157,HC
"53,610",tile_x51y158,HC
"53,890",tile_x51y159,HC
"53,790",tile_x51y160,HC
"54,095",tile_x51y161,HC
"54,620",tile_x51y162,HB
"43,070",tile_x51y43,HZ
"43,096",tile_x51y44,HZ
"43,728",tile_x51y45,HZ
"44,190",tile_x51y46,HZ
"43,780",tile_x51y47,HY
"43,630",tile_x51y48,HY
"43,819",tile_x51y49,HY
"44,050",tile_x51y50,HY
"44,200",tile_x51y51,HY
"45,280",tile_x51y52,HX
"45,950",tile_x51y53,HX
"45,460",tile_x51y54,HX
"44,550",tile_x51y55,HX
"45,199",tile_x51y56,HX
"45,250",tile_x51y57,HW
"44,690",tile_x51y58,HW
"45,861",tile_x51y59,HW
"45,293",tile_x51y60,HW
"45,210",tile_x51y61,HW
"44,130",tile_x51y62,HV
"43,236",tile_x51y63,HV
"43,062",tile_x51y64,HV
"43,620",tile_x51y65,HV
"43,160",tile_x51y66,HV
"42,634",tile_x51y67,HU
"41,886",tile_x51y68,HU
"41,880",tile_x51y69,HU
"44,150",tile_x51y70,HU
"43,866",tile_x51y71,HU
"43,759",tile_x51y72,HT
"42,530",tile_x51y73,HT
"41,880",tile_x51y74,HT
"40,930",tile_x51y75,HT
"42,730",tile_x51y76,HT
"41,859",tile_x51y77,HS
"38,571",tile_x51y78,HS
"38,796",tile_x51y79,HS
"37,625",tile_x51y80,HS
"34,827",tile_x51y81,HS
"34,670",tile_x51y82,HR
"34,714",tile_x51y83,HR
"32,018",tile_x51y84,HR
"31,374",tile_x51y85,HR
"28,119",tile_x51y86,HR
"22,843",tile_x51y87,HQ
"22,560",tile_x51y88,HQ
"27,852",tile_x51y89,HQ
"26,500",tile_x51y90,HQ
"20,722",tile_x51y91,HQ
"19,400",tile_x51y92,HP
"24,510",tile_x51y93,HP
"27,740",tile_x51y94,HP
"22,816",tile_x51y95,HP
"20,680",tile_x51y96,HP
"20,880",tile_x51y97,HO
"23,910",tile_x51y98,HO
"32,553",tile_x51y99,HO
"36,210",tile_x52y100,HO
"38,117",tile_x52y101,HO
"36,793",tile_x52y102,HN
"36,810",tile_x52y103,HN
"38,070",tile_x52y104,HN
"37,478",tile_x52y105,HN
"35,180",tile_x52y106,HN
"33,885",tile_x52y107,HM
"33,470",tile_x52y108,HM
"35,060",tile_x52y109,HM
"35,296",tile_x52y110,HM
"37,134",tile_x52y111,HM
"39,008",tile_x52y112,HL
"39,605",tile_x52y113,HL
"40,260",tile_x52y114,HL
"41,923",tile_x52y115,HL
"42,460",tile_x52y116,HL
"52,550",tile_x52y153,HD
"52,960",tile_x52y154,HD
"52,770",tile_x52y155,HD
"52,926",tile_x52y156,HD
"52,908",tile_x52y157,HC
"53,400",tile_x52y158,HC
"53,390",tile_x52y159,HC
"53,920",tile_x52y160,HC
"53,900",tile_x52y161,HC
"54,380",tile_x52y162,HB
"42,780",tile_x52y42,HZ
"42,737",tile_x52y43,HZ
"43,001",tile_x52y44,HZ
"43,420",tile_x52y45,HZ
"43,281",tile_x52y46,HZ
"43,400",tile_x52y47,HY
"43,632",tile_x52y48,HY
"43,280",tile_x52y49,HY
"43,470",tile_x52y50,HY
"43,040",tile_x52y51,HY
"44,853",tile_x52y52,HX
"44,268",tile_x52y53,HX
"45,410",tile_x52y54,HX
"43,990",tile_x52y55,HX
"43,980",tile_x52y56,HX
"44,230",tile_x52y57,HW
"44,616",tile_x52y58,HW
"45,118",tile_x52y59,HW
"44,810",tile_x52y60,HW
"43,885",tile_x52y61,HW
"45,032",tile_x52y62,HV
"43,110",tile_x52y63,HV
"42,439",tile_x52y64,HV
"42,780",tile_x52y65,HV
"42,470",tile_x52y66,HV
"42,161",tile_x52y67,HU
"41,650",tile_x52y68,HU
"41,949",tile_x52y69,HU
"42,860",tile_x52y70,HU
"42,750",tile_x52y71,HU
"41,311",tile_x52y72,HT
"42,225",tile_x52y73,HT
"41,058",tile_x52y74,HT
"41,400",tile_x52y75,HT
"40,760",tile_x52y76,HT
"40,960",tile_x52y77,HS
"41,184",tile_x52y78,HS
"39,550",tile_x52y79,HS
"38,922",tile_x52y80,HS
"36,990",tile_x52y81,HS
"33,908",tile_x52y82,HR
"31,594",tile_x52y83,HR
"31,146",tile_x52y84,HR
"30,651",tile_x52y85,HR
"30,150",tile_x52y86,HR
"22,610",tile_x52y87,HQ
"21,773",tile_x52y88,HQ
"28,492",tile_x52y89,HQ
"26,445",tile_x52y90,HQ
"23,678",tile_x52y91,HQ
"19,130",tile_x52y92,HP
"20,350",tile_x52y93,HP
"19,980",tile_x52y94,HP
"20,286",tile_x52y95,HP
"20,750",tile_x52y96,HP
"25,272",tile_x52y97,HO
"36,067",tile_x52y98,HO
"37,825",tile_x52y99,HO
"35,810",tile_x53y100,HO
"37,420",tile_x53y101,HO
"37,000",tile_x53y102,HN
"38,219",tile_x53y103,HN
"36,474",tile_x53y104,HN
"39,150",tile_x53y105,HN
"36,591",tile_x53y106,HN
"35,400",tile_x53y107,HM
"35,240",tile_x53y108,HM
"38,950",tile_x53y109,HM
"39,073",tile_x53y110,HM
"37,382",tile_x53y111,HM
"38,502",tile_x53y112,HL
"40,230",tile_x53y113,HL
"40,774",tile_x53y114,HL
"41,396",tile_x53y115,HL
"41,261",tile_x53y116,HL
"51,898",tile_x53y152,HD
"52,169",tile_x53y153,HD
"52,660",tile_x53y154,HD
"53,170",tile_x53y155,HD
"52,528",tile_x53y156,HD
"52,717",tile_x53y157,HC
"52,633",tile_x53y158,HC
"53,700",tile_x53y159,HC
"53,237",tile_x53y160,HC
"53,520",tile_x53y161,HC
"42,124",tile_x53y42,HZ
"42,331",tile_x53y43,HZ
"43,029",tile_x53y44,HZ
"43,410",tile_x53y45,HZ
"42,783",tile_x53y46,HZ
"42,720",tile_x53y47,HY
"42,910",tile_x53y48,HY
"43,030",tile_x53y49,HY
"43,579",tile_x53y50,HY
"42,520",tile_x53y51,HY
"43,340",tile_x53y52,HX
"43,530",tile_x53y53,HX
"44,100",tile_x53y54,HX
"43,620",tile_x53y55,HX
"43,400",tile_x53y56,HX
"43,800",tile_x53y57,HW
"43,950",tile_x53y58,HW
"43,790",tile_x53y59,HW
"44,405",tile_x53y60,HW
"43,623",tile_x53y61,HW
"43,795",tile_x53y62,HV
"42,445",tile_x53y63,HV
"41,932",tile_x53y64,HV
"41,890",tile_x53y65,HV
"41,860",tile_x53y66,HV
"41,330",tile_x53y67,HU
"41,400",tile_x53y68,HU
"41,788",tile_x53y69,HU
"42,007",tile_x53y70,HU
"42,777",tile_x53y71,HU
"40,860",tile_x53y72,HT
"41,022",tile_x53y73,HT
"40,160",tile_x53y74,HT
"40,310",tile_x53y75,HT
"39,590",tile_x53y76,HT
"40,554",tile_x53y77,HS
"39,746",tile_x53y78,HS
"39,082",tile_x53y79,HS
"37,857",tile_x53y80,HS
"36,731",tile_x53y81,HS
"32,872",tile_x53y82,HR
"30,503",tile_x53y83,HR
"29,673",tile_x53y84,HR
"29,336",tile_x53y85,HR
"28,550",tile_x53y86,HR
"27,846",tile_x53y87,HQ
"21,010",tile_x53y88,HQ
"25,790",tile_x53y89,HQ
"24,480",tile_x53y90,HQ
"19,155",tile_x53y91,HQ
"18,920",tile_x53y92,HP
"19,130",tile_x53y93,HP
"19,630",tile_x53y94,HP
"21,200",tile_x53y95,HP
"25,274",tile_x53y96,HP
"32,910",tile_x53y97,HO
"33,970",tile_x53y98,HO
"36,103",tile_x53y99,HO
"35,581",tile_x54y100,HO
"38,190",tile_x54y101,HO
"38,090",tile_x54y102,HN
"38,570",tile_x54y103,HN
"38,510",tile_x54y104,HN
"37,740",tile_x54y105,HN
"38,913",tile_x54y106,HN
"36,470",tile_x54y107,HM
"38,060",tile_x54y108,HM
"39,180",tile_x54y109,HM
"39,900",tile_x54y110,HM
"39,557",tile_x54y111,HM
"39,980",tile_x54y112,HL
"40,398",tile_x54y113,HL
"41,590",tile_x54y114,HL
"42,220",tile_x54y115,HL
"42,070",tile_x54y116,HL
"52,330",tile_x54y151,HE
"52,460",tile_x54y152,HD
"52,159",tile_x54y153,HD
"52,360",tile_x54y154,HD
"52,315",tile_x54y155,HD
"52,163",tile_x54y156,HD
"52,570",tile_x54y157,HC
"52,516",tile_x54y158,HC
"52,481",tile_x54y159,HC
"52,875",tile_x54y160,HC
"41,147",tile_x54y41,H1
"41,454",tile_x54y42,HZ
"42,690",tile_x54y43,HZ
"42,237",tile_x54y44,HZ
"42,898",tile_x54y45,HZ
"42,566",tile_x54y46,HZ
"42,747",tile_x54y47,HY
"42,190",tile_x54y48,HY
"42,620",tile_x54y49,HY
"43,285",tile_x54y50,HY
"42,500",tile_x54y51,HY
"42,000",tile_x54y52,HX
"42,660",tile_x54y53,HX
"43,310",tile_x54y54,HX
"42,730",tile_x54y55,HX
"42,280",tile_x54y56,HX
"43,625",tile_x54y57,HW
"43,079",tile_x54y58,HW
"43,011",tile_x54y59,HW
"44,021",tile_x54y60,HW
"42,930",tile_x54y61,HW
"43,222",tile_x54y62,HV
"42,382",tile_x54y63,HV
"41,756",tile_x54y64,HV
"40,670",tile_x54y65,HV
"41,348",tile_x54y66,HV
"41,160",tile_x54y67,HU
"40,540",tile_x54y68,HU
"40,639",tile_x54y69,HU
"40,300",tile_x54y70,HU
"42,260",tile_x54y71,HU
"42,890",tile_x54y72,HT
"40,934",tile_x54y73,HT
"40,678",tile_x54y74,HT
"40,810",tile_x54y75,HT
"39,265",tile_x54y76,HT
"37,812",tile_x54y77,HS
"38,301",tile_x54y78,HS
"38,480",tile_x54y79,HS
"37,627",tile_x54y80,HS
"34,987",tile_x54y81,HS
"31,661",tile_x54y82,HR
"30,892",tile_x54y83,HR
"29,360",tile_x54y84,HR
"28,910",tile_x54y85,HR
"28,614",tile_x54y86,HR
"27,967",tile_x54y87,HQ
"19,926",tile_x54y88,HQ
"19,320",tile_x54y89,HQ
"18,244",tile_x54y90,HQ
"18,330",tile_x54y91,HQ
"17,981",tile_x54y92,HP
"18,890",tile_x54y93,HP
"25,963",tile_x54y94,HP
"31,138",tile_x54y95,HP
"30,382",tile_x54y96,HP
"32,930",tile_x54y97,HO
"34,225",tile_x54y98,HO
"34,186",tile_x54y99,HO
"36,580",tile_x55y100,HO
"35,870",tile_x55y101,HO
"37,670",tile_x55y102,HN
"38,341",tile_x55y103,HN
"38,990",tile_x55y104,HN
"39,290",tile_x55y105,HN
"38,720",tile_x55y106,HN
"37,110",tile_x55y107,HM
"38,200",tile_x55y108,HM
"39,440",tile_x55y109,HM
"40,050",tile_x55y110,HM
"41,090",tile_x55y111,HM
"39,990",tile_x55y112,HL
"40,070",tile_x55y113,HL
"41,380",tile_x55y114,HL
"42,370",tile_x55y115,HL
"42,630",tile_x55y116,HL
"44,160",tile_x55y117,HK
"51,002",tile_x55y150,HE
"51,528",tile_x55y151,HE
"52,070",tile_x55y152,HD
"52,342",tile_x55y153,HD
"51,877",tile_x55y154,HD
"52,012",tile_x55y155,HD
"52,040",tile_x55y156,HD
"52,490",tile_x55y157,HC
"52,662",tile_x55y158,HC
"52,490",tile_x55y159,HC
"39,509",tile_x55y40,H1
"40,210",tile_x55y41,H1
"40,752",tile_x55y42,HZ
"41,108",tile_x55y43,HZ
"41,123",tile_x55y44,HZ
"42,571",tile_x55y45,HZ
"42,575",tile_x55y46,HZ
"43,654",tile_x55y47,HY
"41,770",tile_x55y48,HY
"42,233",tile_x55y49,HY
"43,118",tile_x55y50,HY
"43,003",tile_x55y51,HY
"41,840",tile_x55y52,HX
"41,620",tile_x55y53,HX
"42,620",tile_x55y54,HX
"41,610",tile_x55y55,HX
"41,690",tile_x55y56,HX
"42,880",tile_x55y57,HW
"42,340",tile_x55y58,HW
"42,730",tile_x55y59,HW
"43,546",tile_x55y60,HW
"41,952",tile_x55y61,HW
"42,710",tile_x55y62,HV
"42,276",tile_x55y63,HV
"41,898",tile_x55y64,HV
"40,250",tile_x55y65,HV
"40,090",tile_x55y66,HV
"40,094",tile_x55y67,HU
"40,109",tile_x55y68,HU
"40,000",tile_x55y69,HU
"40,300",tile_x55y70,HU
"40,909",tile_x55y71,HU
"41,370",tile_x55y72,HT
"40,945",tile_x55y73,HT
"40,310",tile_x55y74,HT
"39,920",tile_x55y75,HT
"39,921",tile_x55y76,HT
"37,372",tile_x55y77,HS
"36,728",tile_x55y78,HS
"36,793",tile_x55y79,HS
"36,380",tile_x55y80,HS
"34,126",tile_x55y81,HS
"32,049",tile_x55y82,HR
"30,097",tile_x55y83,HR
"28,423",tile_x55y84,HR
"28,420",tile_x55y85,HR
"27,508",tile_x55y86,HR
"25,950",tile_x55y87,HQ
"21,638",tile_x55y88,HQ
"17,570",tile_x55y89,HQ
"18,050",tile_x55y90,HQ
"18,390",tile_x55y91,HQ
"24,790",tile_x55y92,HP
"24,810",tile_x55y93,HP
"27,799",tile_x55y94,HP
"30,511",tile_x55y95,HP
"33,560",tile_x55y96,HP
"34,297",tile_x55y97,HO
"35,167",tile_x55y98,HO
"35,242",tile_x55y99,HO
"36,760",tile_x56y100,IO
"37,600",tile_x56y101,IO
"37,383",tile_x56y102,IN
"38,184",tile_x56y103,IN
"39,430",tile_x56y104,IN
"38,810",tile_x56y105,IN
"38,580",tile_x56y106,IN
"38,402",tile_x56y107,IM
"38,602",tile_x56y108,IM
"40,247",tile_x56y109,IM
"40,408",tile_x56y110,IM
"40,940",tile_x56y111,IM
"41,341",tile_x56y112,IL
"41,404",tile_x56y113,IL
"41,480",tile_x56y114,IL
"42,650",tile_x56y115,IL
"42,840",tile_x56y116,IL
"43,060",tile_x56y117,IK
"49,801",tile_x56y142,IF
"50,240",tile_x56y143,IF
"50,314",tile_x56y144,IF
"50,522",tile_x56y145,IF
"51,470",tile_x56y146,IF
"51,036",tile_x56y147,IE
"51,181",tile_x56y148,IE
"51,423",tile_x56y149,IE
"50,836",tile_x56y150,IE
"51,780",tile_x56y151,IE
"51,407",tile_x56y152,ID
"51,668",tile_x56y153,ID
"51,672",tile_x56y154,ID
"51,518",tile_x56y155,ID
"52,214",tile_x56y156,ID
"52,438",tile_x56y157,IC
"52,246",tile_x56y158,IC
"51,756",tile_x56y159,IC
"39,460",tile_x56y41,I1
"41,270",tile_x56y42,IZ
"41,013",tile_x56y43,IZ
"41,013",tile_x56y44,IZ
"42,960",tile_x56y45,IZ
"42,611",tile_x56y46,IZ
"42,833",tile_x56y47,IY
"41,089",tile_x56y48,IY
"41,487",tile_x56y49,IY
"41,976",tile_x56y50,IY
"43,200",tile_x56y51,IY
"42,082",tile_x56y52,IX
"40,730",tile_x56y53,IX
"41,320",tile_x56y54,IX
"40,350",tile_x56y55,IX
"40,765",tile_x56y56,IX
"41,700",tile_x56y57,IW
"42,170",tile_x56y58,IW
"42,360",tile_x56y59,IW
"42,220",tile_x56y60,IW
"41,940",tile_x56y61,IW
"42,470",tile_x56y62,IV
"41,797",tile_x56y63,IV
"41,257",tile_x56y64,IV
"40,892",tile_x56y65,IV
"39,460",tile_x56y66,IV
"39,964",tile_x56y67,IU
"40,481",tile_x56y68,IU
"39,473",tile_x56y69,IU
"39,354",tile_x56y70,IU
"39,367",tile_x56y71,IU
"38,060",tile_x56y72,IT
"39,663",tile_x56y73,IT
"39,437",tile_x56y74,IT
"38,841",tile_x56y75,IT
"38,810",tile_x56y76,IT
"38,824",tile_x56y77,IS
"37,787",tile_x56y78,IS
"36,520",tile_x56y79,IS
"34,645",tile_x56y80,IS
"32,852",tile_x56y81,IS
"31,440",tile_x56y82,IR
"29,097",tile_x56y83,IR
"27,430",tile_x56y84,IR
"27,710",tile_x56y85,IR
"26,680",tile_x56y86,IR
"25,220",tile_x56y87,IQ
"19,110",tile_x56y88,IQ
"16,751",tile_x56y89,IQ
"23,050",tile_x56y90,IQ
"24,360",tile_x56y91,IQ
"25,390",tile_x56y92,IP
"26,926",tile_x56y93,IP
"28,471",tile_x56y94,IP
"30,670",tile_x56y95,IP
"32,201",tile_x56y96,IP
"34,925",tile_x56y97,IO
"35,558",tile_x56y98,IO
"35,190",tile_x56y99,IO
"35,477",tile_x57y100,IO
"36,547",tile_x57y101,IO
"37,118",tile_x57y102,IN
"38,014",tile_x57y103,IN
"39,643",tile_x57y104,IN
"39,312",tile_x57y105,IN
"40,360",tile_x57y106,IN
"38,735",tile_x57y107,IM
"39,966",tile_x57y108,IM
"41,060",tile_x57y109,IM
"40,711",tile_x57y110,IM
"41,870",tile_x57y111,IM
"41,849",tile_x57y112,IL
"42,149",tile_x57y113,IL
"41,820",tile_x57y114,IL
"43,290",tile_x57y115,IL
"43,650",tile_x57y116,IL
"43,710",tile_x57y117,IK
"44,430",tile_x57y118,IK
"48,122",tile_x57y138,IG
"48,620",tile_x57y139,IG
"48,817",tile_x57y140,IG
"49,166",tile_x57y141,IG
"49,692",tile_x57y142,IF
"50,336",tile_x57y143,IF
"50,393",tile_x57y144,IF
"50,542",tile_x57y145,IF
"50,440",tile_x57y146,IF
"50,689",tile_x57y147,IE
"51,396",tile_x57y148,IE
"51,370",tile_x57y149,IE
"50,509",tile_x57y150,IE
"50,886",tile_x57y151,IE
"50,696",tile_x57y152,ID
"51,141",tile_x57y153,ID
"51,126",tile_x57y154,ID
"51,065",tile_x57y155,ID
"51,960",tile_x57y156,ID
"51,725",tile_x57y157,IC
"50,563",tile_x57y158,IC
"39,180",tile_x57y41,I1
"40,152",tile_x57y42,IZ
"40,381",tile_x57y43,IZ
"41,013",tile_x57y44,IZ
"43,147",tile_x57y45,IZ
"42,868",tile_x57y46,IZ
"42,250",tile_x57y47,IY
"40,686",tile_x57y48,IY
"40,530",tile_x57y49,IY
"41,700",tile_x57y50,IY
"43,237",tile_x57y51,IY
"42,082",tile_x57y52,IX
"40,510",tile_x57y53,IX
"39,380",tile_x57y54,IX
"39,700",tile_x57y55,IX
"40,290",tile_x57y56,IX
"40,880",tile_x57y57,IW
"41,970",tile_x57y58,IW
"41,710",tile_x57y59,IW
"41,430",tile_x57y60,IW
"42,470",tile_x57y61,IW
"42,350",tile_x57y62,IV
"41,083",tile_x57y63,IV
"40,281",tile_x57y64,IV
"40,130",tile_x57y65,IV
"40,278",tile_x57y66,IV
"39,048",tile_x57y67,IU
"38,896",tile_x57y68,IU
"37,654",tile_x57y69,IU
"38,174",tile_x57y70,IU
"38,380",tile_x57y71,IU
"37,948",tile_x57y72,IT
"38,830",tile_x57y73,IT
"37,407",tile_x57y74,IT
"37,610",tile_x57y75,IT
"38,208",tile_x57y76,IT
"38,828",tile_x57y77,IS
"38,913",tile_x57y78,IS
"37,054",tile_x57y79,IS
"34,764",tile_x57y80,IS
"32,255",tile_x57y81,IS
"29,182",tile_x57y82,IR
"28,839",tile_x57y83,IR
"27,568",tile_x57y84,IR
"26,276",tile_x57y85,IR
"26,252",tile_x57y86,IR
"23,960",tile_x57y87,IQ
"19,035",tile_x57y88,IQ
"15,818",tile_x57y89,IQ
"23,670",tile_x57y90,IQ
"24,420",tile_x57y91,IQ
"25,540",tile_x57y92,IP
"26,364",tile_x57y93,IP
"30,554",tile_x57y94,IP
"30,887",tile_x57y95,IP
"32,586",tile_x57y96,IP
"33,540",tile_x57y97,IO
"35,010",tile_x57y98,IO
"35,601",tile_x57y99,IO
"35,431",tile_x58y100,IO
"37,560",tile_x58y101,IO
"37,880",tile_x58y102,IN
"39,192",tile_x58y103,IN
"39,910",tile_x58y104,IN
"39,882",tile_x58y105,IN
"40,072",tile_x58y106,IN
"40,790",tile_x58y107,IM
"40,992",tile_x58y108,IM
"41,337",tile_x58y109,IM
"41,386",tile_x58y110,IM
"42,378",tile_x58y111,IM
"42,175",tile_x58y112,IL
"41,912",tile_x58y113,IL
"42,598",tile_x58y114,IL
"41,891",tile_x58y115,IL
"42,537",tile_x58y116,IL
"43,756",tile_x58y117,IK
"44,816",tile_x58y118,IK
"45,890",tile_x58y119,IK
"47,814",tile_x58y136,IH
"48,260",tile_x58y137,IG
"48,859",tile_x58y138,IG
"48,980",tile_x58y139,IG
"49,258",tile_x58y140,IG
"50,852",tile_x58y141,IG
"50,496",tile_x58y142,IF
"50,836",tile_x58y143,IF
"50,969",tile_x58y144,IF
"50,640",tile_x58y145,IF
"50,194",tile_x58y146,IF
"51,036",tile_x58y147,IE
"51,340",tile_x58y148,IE
"51,692",tile_x58y149,IE
"50,975",tile_x58y150,IE
"50,454",tile_x58y151,IE
"50,432",tile_x58y152,ID
"50,684",tile_x58y153,ID
"50,828",tile_x58y154,ID
"50,818",tile_x58y155,ID
"51,594",tile_x58y156,ID
"51,668",tile_x58y157,IC
"50,594",tile_x58y158,IC
"39,160",tile_x58y42,IZ
"40,150",tile_x58y43,IZ
"41,189",tile_x58y44,IZ
"42,015",tile_x58y45,IZ
"42,337",tile_x58y46,IZ
"40,939",tile_x58y47,IY
"40,696",tile_x58y48,IY
"39,840",tile_x58y49,IY
"41,769",tile_x58y50,IY
"42,820",tile_x58y51,IY
"42,971",tile_x58y52,IX
"41,557",tile_x58y53,IX
"39,650",tile_x58y54,IX
"38,160",tile_x58y55,IX
"39,370",tile_x58y56,IX
"40,910",tile_x58y57,IW
"40,606",tile_x58y58,IW
"41,090",tile_x58y59,IW
"40,760",tile_x58y60,IW
"41,461",tile_x58y61,IW
"41,810",tile_x58y62,IV
"41,050",tile_x58y63,IV
"39,608",tile_x58y64,IV
"39,337",tile_x58y65,IV
"39,380",tile_x58y66,IV
"38,370",tile_x58y67,IU
"36,287",tile_x58y68,IU
"37,647",tile_x58y69,IU
"37,269",tile_x58y70,IU
"36,340",tile_x58y71,IU
"37,477",tile_x58y72,IT
"38,850",tile_x58y73,IT
"37,780",tile_x58y74,IT
"37,020",tile_x58y75,IT
"36,900",tile_x58y76,IT
"38,746",tile_x58y77,IS
"38,330",tile_x58y78,IS
"36,771",tile_x58y79,IS
"34,570",tile_x58y80,IS
"32,362",tile_x58y81,IS
"30,080",tile_x58y82,IR
"26,687",tile_x58y83,IR
"24,227",tile_x58y84,IR
"24,527",tile_x58y85,IR
"23,220",tile_x58y86,IR
"22,000",tile_x58y87,IQ
"19,752",tile_x58y88,IQ
"15,775",tile_x58y89,IQ
"21,960",tile_x58y90,IQ
"24,673",tile_x58y91,IQ
"25,040",tile_x58y92,IP
"26,060",tile_x58y93,IP
"29,350",tile_x58y94,IP
"29,976",tile_x58y95,IP
"32,055",tile_x58y96,IP
"33,460",tile_x58y97,IO
"33,201",tile_x58y98,IO
"34,309",tile_x58y99,IO
"35,950",tile_x59y100,IO
"37,678",tile_x59y101,IO
"39,100",tile_x59y102,IN
"39,937",tile_x59y103,IN
"39,957",tile_x59y104,IN
"40,250",tile_x59y105,IN
"40,277",tile_x59y106,IN
"40,287",tile_x59y107,IM
"41,590",tile_x59y108,IM
"41,570",tile_x59y109,IM
"41,934",tile_x59y110,IM
"42,259",tile_x59y111,IM
"42,703",tile_x59y112,IL
"43,060",tile_x59y113,IL
"38,890",tile_x59y42,IZ
"39,530",tile_x59y43,IZ
"40,981",tile_x59y44,IZ
"41,121",tile_x59y45,IZ
"40,940",tile_x59y46,IZ
"41,303",tile_x59y47,IY
"38,580",tile_x59y48,IY
"40,120",tile_x59y49,IY
"41,403",tile_x59y50,IY
"41,680",tile_x59y51,IY
"41,952",tile_x59y52,IX
"41,269",tile_x59y53,IX
"39,418",tile_x59y54,IX
"37,700",tile_x59y55,IX
"38,950",tile_x59y56,IX
"39,499",tile_x59y57,IW
"39,470",tile_x59y58,IW
"39,520",tile_x59y59,IW
"40,214",tile_x59y60,IW
"41,387",tile_x59y61,IW
"41,990",tile_x59y62,IV
"40,530",tile_x59y63,IV
"39,610",tile_x59y64,IV
"38,625",tile_x59y65,IV
"38,820",tile_x59y66,IV
"38,425",tile_x59y67,IU
"36,080",tile_x59y68,IU
"35,940",tile_x59y69,IU
"36,910",tile_x59y70,IU
"35,928",tile_x59y71,IU
"35,905",tile_x59y72,IT
"37,579",tile_x59y73,IT
"36,520",tile_x59y74,IT
"35,705",tile_x59y75,IT
"37,388",tile_x59y76,IT
"36,987",tile_x59y77,IS
"37,437",tile_x59y78,IS
"35,339",tile_x59y79,IS
"34,173",tile_x59y80,IS
